B00, 0
B01, 4
B01, Blotteritem, {'type': 'Trade', 'time': 131.0000000000027, 'price': 83.0, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 512.6363636362973, 'price': 83.01000000000005, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 544.9999999999447, 'price': 83.01700000000008, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 584.9999999999584, 'price': 83.01700000000008, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S00, 10
S00, Blotteritem, {'type': 'Trade', 'time': 72.72727272727377, 'price': 95.9569999999998, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 157.00000000000344, 'price': 89.96299999999982, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 208.45454545455036, 'price': 92.98999999999995, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 267.9090909090938, 'price': 95.999, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 283.7272727272711, 'price': 99.98199999999991, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 302.09090909090224, 'price': 99.99199999999996, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 390.1818181817863, 'price': 99.99099999999996, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 413.545454545416, 'price': 84.99799999999999, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 492.1818181817573, 'price': 99.96899999999985, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 525.7272727272109, 'price': 99.99399999999997, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
S01, 20
S01, Blotteritem, {'type': 'Trade', 'time': 9.36363636363637, 'price': 66.0, 'party1': 'S01', 'party2': 'B02', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 43.727272727272954, 'price': 83.01200000000006, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 75.0909090909102, 'price': 93.01500000000007, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 117.81818181818414, 'price': 83.01400000000007, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 131.0000000000027, 'price': 83.0, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 175.8181818181858, 'price': 83.01800000000009, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 204.81818181818662, 'price': 83.02600000000012, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 216.1818181818233, 'price': 83.00500000000002, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 247.72727272727874, 'price': 83.01600000000008, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 274.0909090909102, 'price': 83.00200000000001, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 332.45454545453, 'price': 85, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 363.8181818181574, 'price': 83.001, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 366.7272727272475, 'price': 83.0, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 422.1818181817772, 'price': 83.01800000000009, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 443.45454545449843, 'price': 83.0, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 453.81818181813185, 'price': 66.0, 'party1': 'S01', 'party2': 'B02', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 512.6363636362973, 'price': 83.01000000000005, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 544.9999999999447, 'price': 83.01700000000008, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 566.5454545454066, 'price': 110, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 584.9999999999584, 'price': 83.01700000000008, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S02, 2
S02, Blotteritem, {'type': 'Trade', 'time': 94.7272727272744, 'price': 89.00200000000001, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 555.2727272726755, 'price': 83.0, 'party1': 'B01', 'party2': 'S02', 'qty': 1}
S03, 4
S03, Blotteritem, {'type': 'Trade', 'time': 103.18181818182009, 'price': 115.95999999999981, 'party1': 'S03', 'party2': 'B02', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 215.54545454545965, 'price': 100.0, 'party1': 'S03', 'party2': 'B02', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 544.5454545453991, 'price': 100.0, 'party1': 'S03', 'party2': 'B02', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 584.5454545454128, 'price': 115.94899999999976, 'party1': 'S03', 'party2': 'B02', 'qty': 1}
S04, 0
S05, 0
S06, 0
